id,name,round,location,sector,website,status,slug
1783,01 Advisors,"Series A, Series B, Series C",United States,Software,https://01a.com,Active,01-advisors
4957,01Fintech,,,,https://www.01fintech.com,Active,01fintech
1784,01VC,"Series A, Series B",China,"E-Commerce, B2B, Consumer Services",https://01vc.com,Active,01vc
1785,01 Ventures,"Seed, Series A",Netherlands,Deep Tech,https://www.01ventures.com/,Active,01-ventures
4958,021 Capital,,India,Various sectors,https://www.021.capital,Active,021-capital
518,100X.VC,Seed,India,Various sectors,https://www.100x.vc,Active,100xvc
4960,10D Ventures,,Israel,Various sectors,https://www.10d.vc,Active,10d-ventures
4961,10T Holdings,,United States,,https://10tfund.com,Active,10t-holdings
1787,10x Capital,Seed,United States,"Analytics, Software",https://10xcapital.com,Active,10x-capital
4962,10x Founders,Seed,Germany,Tech,https://www.10xfounders.com,Active,10x-founders
4963,10x Group,,,,https://10x.group,Active,10x-group
4964,10x Value Partners,,,,https://www.10xvaluepartners.com,Active,10x-value-partners
4965,10X Venture,,,,https://www.10xvp.com,Active,10x-venture
4966,11:11 Media,,,,https://eleven11media.com,Active,11:11-media
4967,111 West,,,,https://111westcapital.com,Active,111-west
4968,111° West Capital,,,,https://www.111westcapital.com,,111°-west-capital
1788,11.2 Capital,"Seed, Series A",United States,"Health Care, Privacy and Security, Financial Services, AI",https://www.112capital.com/,Active,112-capital
4969,116 Street Ventures,,,,https://www.av.vc/funds/116street,,116-street-ventures
1015,11 Tribes Ventures,"Seed, Series A",United States,"AI, Healthcare, B2B SaaS, B2B, B2B2C, B2B Software, B2B & Enterprise, Agriculture, Future of Work, Data Analytics",https://11tribes.vc,Active,11-tribes-ventures
622,123 Investment Managers,Seed,France,Various sectors,https://www.123-im.com,Active,123-investment-managers
1789,1315 Capital,"Series C, Growth",United States,"Health Care, Biotechnology",https://www.1315capital.com/,Active,1315-capital
1016,1337 Ventures,"Pre-Seed, Seed",Malaysia,"Consumer, Agnostic, Fintech, Insurtech, Health and Wellness",https://1337.ventures,Active,1337-ventures
1790,137 Ventures,Growth,United States,"Advertising, Agnostic",https://www.137ventures.com/,Active,137-ventures
4972,1414 Ventures,,,,https://www.1414ventures.com,,1414-ventures
4974,14Peaks Capital,,,,https://www.14peaks.capital,,14peaks-capital
1791,14W,Seed,United States,"E-Commerce, Retail, Health Care, Marketplaces, Life Sciences",https://www.14w.com/,Active,14w
1017,1517 Fund,Seed,United States,"Software, SaaS, Health Care, Mobile, Applications, Enterprise, IT",https://www.1517fund.com/,Active,1517-fund
4975,1707 Capital,,,,https://1707-capital.com,Active,1707-capital
3040,1776 Ventures,"Seed, Series A",United States,"Transportation, Education, Financial Services",https://1776.ventures,Active,1776-ventures
4976,1789 Capital,,,,https://www.1789capital.io,,1789-capital
4977,17Capital,,France,,https://www.17capital.com/,,17capital
4978,180 Group,,,,https://www.180group.com,,180-group
4979,1818 Venture Capital,,,,https://www.1818venturecapital.com,,1818-venture-capital
4980,1818 Ventures,,,,https://www.1818venturecapital.com,,1818-ventures
1792,1823 Ventures,Seed,,Agnostic,https://www.1823ventures.com/,Active,1823-ventures
4981,1835i Ventures,,,,https://www.1835i.com,,1835i-ventures
1018,1843 Capital,"Series A, Series B",United States,"Underrepresented, AI, B2B, B2B2C, Blockchain, Consumer Goods, Crypto, Digital Health, Fintech, Impact, IoT, Lifestyle and Wellness, Platforms, Privacy and Security, Transportation",https://1843capital.com,Active,1843-capital
1793,1855 Capital Partners,"Seed, Series A",,"IT, Software, Health Care",https://1855capital.com,Active,1855-capital-partners
1019,1863 Ventures,"Accelerator, Seed",United States,"Agnostic, Underrepresented",https://www.1863ventures.net/,Active,1863-ventures
1020,186 Ventures,"Pre-Seed, Seed",United States,Agnostic,https://www.186ventures.com,Active,186-ventures
4982,1930 Capital,,,,https://www.1930capital.com,,1930-capital
3041,1955 Capital,"Seed, Series A",United States,"Education, Impact",https://1955.capital,Active,1955-capital
1021,1982 Ventures,Pre-Seed,,Blockchain,https://www.1982.vc/,Active,1982-ventures
1022,1984 Ventures,"Pre-Seed, Seed",United States,"Enterprise, E-Commerce, Marketplaces, Real Estate, Fintech, Consumer Services, Software, Health Care, AI, IT",https://1984.vc,Active,1984-ventures
3042,1Confirmation,"Seed, Series A",United States,Financial Services,https://www.1confirmation.com/,Active,1confirmation
468,1Crowd,Seed/Early-stage,India,Various sectors,https://www.1crowd.co,Active,1crowd
4983,1 Sharpe Ventures,,,Tech,https://www.1sharpe.ventures,Active,1-sharpe-ventures
4984,1Sharpe Ventures,,,,https://1sharpe.com,Active,1sharpe-ventures
4985,1st Class Guernsey,,,,https://thefirstclassbarber.com,,1st-class-guernsey
1023,1st Course Capital,"Seed, Pre-Seed",,"Impact, Food and Beverage, FoodTech",https://www.1cc.vc,Active,1st-course-capital
1024,1Up Ventures,"Seed, Series A",United States,"Gaming, Mobile, Digital Media, ESports",https://1upfund.com,Active,1up-ventures
4986,2040 Foundation,,,,https://mission2040.org,,2040-foundation
4987,2045 Ventures,,United States,,https://www.2045vc.com/,,2045-ventures
4988,2048 VC,,,,https://www.2048.vc,,2048-vc
1026,2048 Ventures,Pre-Seed,United States,"Enterprise, Consumer Electronics, E-Commerce, VR/AR, Real Estate, Fintech, Agnostic, Digital Health, Sustainability, Climate, AI, API, Marketplaces, B2B, SaaS, Biotechnology",https://www.2048.vc/,Active,2048-ventures
4989,2050 Capital,,,,https://www.2050cap.com,,2050-capital
4990,205 Capital,,,,https://www.205capital.com/,,205-capital
4991,2.0 Ventures,,,,https://2point0ventures.com,Active,20-ventures
1796,212,"Series A, Series B",Turkey,"E-Commerce, Software",https://212.vc,Active,212
9,212v,Early-stage,Turkey,Tech,https://212.vc/,Active,212v
4992,2150 Urban Tech Sustainability Fund,,,,https://www.2150.vc,,2150-urban-tech-sustainability-fund
4993,22C Capital,,,,https://www.22ccapital.com,,22c-capital
1027,22 Fund,Growth,United States,"Manufacturing, Underrepresented",https://the22fund.com,Active,22-fund
4994,24 Haymarket,,,,https://24haymarket.com,Active,24-haymarket
1028,24Haymarket,"Series A, Series B",,"B2B, Enterprise, Digital healthcare, Cyber Security, Supply chain & logistics, Climate Tech, Future of Work, Professional Services Tech ",https://24haymarket.com,Active,24haymarket
4995,25madison Ventures,,,,https://www.25madison.com,,25madison-ventures
4996,2am VC,,,,https://www.2amvc.com,,2am-vc
1797,2B Angels,"Seed, Angel",Israel,"Software, SaaS, AI, E-Commerce, Agnostic",https://www.2b.vc,Active,2b-angels
4997,2i Ventures,,,,https://www.2iventures.com,,2i-ventures
4998,2M,,United States,,https://2m.com,Active,2m
4999,301 INC,,United States,Food and Beverage,https://www.301inc.com/,,301-inc
5000,305 Ventures,,,,https://www.305.ventures,,305-ventures
1799,32 Degrees Capital,Seed,,Energy,https://www.32degrees.ca/,Active,32-degrees-capital
1800,32 Ventures,"Pre-Seed, Seed",,Software,https://32advisors.com/32ventures,Active,32-ventures
3045,33 Capital,Seed,,"Consumer, Fintech",https://33-capital.com,Active,33-capital
5001,35 Ventures,,,,https://35v.tv/,Active,35-ventures
1029,360 Capital,"Pre-Seed, Seed, Series A, Series B",France,"AI, Analytics, Automation, B2B, B2C, B2B2C, API, Computing, Consumer Services, Deep Tech, Developer Tools, Digital Health, E-Commerce, Femtech, Food and Beverage, Hardware, IoT, Software, Platforms, Lifestyle and Wellness, Media and Entertainment, Marketplaces, Logistics",https://www.360cap.vc/,Active,360-capital
5002,360 Venture Collective,,,,https://www.360venturecollective.com,,360-venture-collective
1801,37 Angels,"Pre-Seed, Seed, Angel",,"Enterprise, Health Care",https://www.37angels.com/,Active,37-angels
5003,37 Interactive Entertainment,,,,https://www.37entertainment.net,,37-interactive-entertainment
5005,3B Future Health Fund,,,,https://3bfuturehealth.com,Active,3b-future-health-fund
5006,3B Ventures,,Malaysia,Lifestyle and Wellness,https://3bvc.hatcher.com,Active,3b-ventures
5007,3D Ventures,,,,https://www.3dventures.com,,3d-ventures
5008,3E Bioventures Capital,,,,https://3ebiovc.com,Active,3e-bioventures-capital
5009,3H Health Investment,,,,https://3hhinvestment.com/index.php?m=content&c=index&a=lists&catid=31,Active,3h-health-investment
1802,3Lines,Seed,United States,"Software, AI, Future of Work, Enterprise , Industry Technology",https://3lines.vc,Active,3lines
494,3Lines Venture Capital,Seed/Early-stage,India,"Tech, Internet",https://www.3lines.vc,Active,3lines-venture-capital
465,3one4 Capital,Seed/Early-stage,India,Various sectors,https://www.3one4capital.com,Active,3one4-capital
3047,3Rodeo,Seed,United States,Enterprise,https://3rodeo.com,Active,3rodeo
3048,3S Landing Pad,,,"Software, IT",https://appmaster.io/,Active,3s-landing-pad
1806,3TS Capital Partners,"Series A, Series B",,"Software, E-Commerce, Agnostic",https://3tscapital.com,Active,3ts-capital-partners
1030,3VC,"Seed, Series A, Series B",Austria,"Software, IT, SaaS",https://three.vc,Active,3vc
5011,3W Capital,,,,https://www.3wpcap.com,,3w-capital
3050,3wVentures,"Seed, Series A",Switzerland,"Financial Services, Fintech",https://3wventures.com,Active,3wventures
1807,.406 Ventures,"Seed, Series A, Series B",United States,"Health Care, Privacy and Security, Analytics, Enterprise",https://www.406ventures.com/,Active,406-ventures
5012,4100 Group,,,,https://www.linkedin.com/company/the-4100-group-inc,,4100-group
5013,41 Group,,,,https://41group.ch,Active,41-group
392,42CAP,Seed/Early-stage,Germany,Software as a Service (SaaS),https://www.42cap.com,Active,42cap
3053,43North,Accelerator,United States,Financial Services,https://43north.org,Active,43north
1809,4490 Ventures,"Series A, Series B",United States,"Financial Services, Agriculture, Education, Agnostic",https://4490ventures.com,Active,4490-ventures
1810,4BIO Capital,"Series A, Series B",,"Life Sciences, Biotechnology",https://www.4biocapital.com/,Active,4bio-capital
5016,4D Capital,,,,https://4datx.com/,Active,4d-capital
5017,4Di Capital,,,,https://4dicapital.com/,Active,4di-capital
1811,4DX Ventures,"Seed, Series A, Series B",,"Software, B2B, Agnostic",https://www.4dxventures.com/,Active,4dx-ventures
5018,4Founders Capital,,,,https://www.4founderscapital.com,,4founders-capital
5019,4FOX Ventures,,,,https://4fox-ventures.com,Active,4fox-ventures
1031,4impact,"Seed, Series A",Netherlands,"Impact, Software",https://www.4impact.vc,Active,4impact
5020,4impact Capital,,,,https://www.4impact.vc,,4impact-capital
1812,4K Soft,Seed,,Education,https://4ksoftltd.com,Active,4k-soft
5021,4See Ventures,,,,https://4seeventures.ch,Active,4see-ventures
5022,500 Durians,,,,https://sea.500.co/,,500-durians
5023,500 Global,,,,https://500.co,Active,500-global
5025,500 Southeast Asia,,,,https://sea.500.co,,500-southeast-asia
222,500 Startups,Pre-seed/Seed,United States,Various Sectors,https://www.500.co,Active,500-startups
5026,500 Startups Latam,,,,https://latam.500.co,,500-startups-latam
838,500 Startups (MENA region),Early stage,United Arab Emirates,Tech,https://www.500.co/mena,Active,500-startups-(mena-region)
1032,500 Startups Vietnam,"Pre-Seed, Seed",Vietnam,Advertising,https://vietnam.500.co,Active,500-startups-vietnam
572,50 Partners,Seed/Early-stage,France,Tech,https://www.50partners.fr,Active,50-partners
5028,50 South Capital Advisors,,,,https://www.50southcapital.com,,50-south-capital-advisors
5029,50Y,,,,https://www.fiftyyears.com/,,50y
5030,50 Years VC,,,,https://www.fiftyyears.com/,,50-years-vc
5031,57 Stars,,,,https://www.57stars.com,,57-stars
3056,5AM Ventures,"Series A, Series B, Growth",United States,"Financial Services, Digital Health, Biotechnology",https://5amventures.com,Active,5am-ventures
5033,5Y Capital,,,,https://www.5ycap.com/en/about,,5y-capital
5034,60 Degree Capital,,,,https://www.sixtydegreecapital.com,,60-degree-capital
3057,645 Ventures,"Series A, Series B, Growth",United States,"Agnostic, D2C, SaaS, Infrastructure, Security, Consumer",https://645ventures.com,Active,645-ventures
5036,653 Investment Partners,,,,https://653investments.com,Active,653-investment-partners
5037,6th Man Ventures,,,,https://6thman.ventures/,Active,6th-man-ventures
3059,70Ventures,"Accelerator, Pre-Seed, Seed, Series A",Lithuania,"B2B, Software, IT, Agnostic",https://www.70v.com/,Active,70ventures
5038,747 Capital,,United States,,https://747capital.com,Active,747-capital
5039,75 and Sunny,,,,https://www.75andsunny.vc,,75-and-sunny
5040,75&Sunny,,,,https://www.75andsunny.vc,,75sunny
1033,76ers  Innovation Lab,Startup Studio (Lab),United States,"Gaming, Sports",https://sixersinnovationlab.com,Active,76ers--innovation-lab
5042,776,,,,https://sevensevensix.com,Active,776
5043,776 Ventures,,,,https://sevensevensix.com,,776-ventures
1034,7BC Venture Capital,"Seed, Series A",United States,"AI, Analytics, B2B, B2B2C, B2C, E-Commerce, Enterprise, Fintech, Financial Services, Marketplaces, Real Estate, SaaS, Cyber Security, Agnostic",https://www.7bc.vc,Active,7bc-venture-capital
5044,7-Eleven,,,,https://www.7-eleven.com,,7-eleven
5045,7 Gates,,United States,"Advertising, Sales and Marketing, Agnostic",https://7-gates.com,Active,7-gates
