accountId,name,memberType,city,country,address,additionalInfoAddress,postalCode,stateProvince,phone,websiteUrl,typeOfCompany,capitalUnderManagement,financingStages,industrySector,profile,geoPreferences,funds_json
d089c7a1-e1f0-ee11-904c-0022489fd083,FORWARD.one,Full Member,Amstelveen,Netherlands (the),Dorpsstraat 28,,1182JD,,,www.forward.one,GP - Independent (no parent),,Growth; Other early stage; Seed; Start-up,"Business Products and Services; Chemicals and Materials; Energy and Environment; Infrastructure; Transportation; ; ICT (Communications, Computer and Electronics) Deeptech / Hightech","Innovation isn’t polite. It’s bold, raw, and relentless.
Europe is full of brilliant ideas, yet most never reach the market.
At Forward.One, we’re here to change that.
We believe technology without commercialization is just expensive science.
We back founders who are obsessed with results, not just ideas.
We don’t chase trends, we chase performance.",Belgium; Denmark; Sweden; Germany; Netherlands (the); Luxembourg; Finland; Switzerland; Norway; Nordics; DACH; Austria; Italy; Spain; Czechia; Poland; Estonia;,"[{""name"":""FORWARD.one Fund I Coöperatief UA"",""capital"":""41000000"",""vintageYear"":""2018""},{""name"":""FORWARD.one Fund II Coöperatief UA"",""capital"":""145000000"",""vintageYear"":""2021""},{""name"":""FORWARD.one Fund III Coöperatief UA"",""capital"":""200000000"",""vintageYear"":""2025""}]"
c8af9341-e1f0-ee11-904c-0022489fd083,Avedon Capital Partners B.V.,Full Member,Amsterdam,Netherlands (the),Apollolaan 171G,,1077 AS,,+31205682626,www.avedoncapital.com,GP - Independent (no parent),,Growth; Mid market buyout (€15m-€150m equity),"  Business Services, Software & Technology, Consumer & Health, Smart Industries",Avedon Capital Partners is an independent private equity manager. The firm's focus is on providing growth capital to small and medium sized companies leading in their (niche) industry in the Benelux and DACH.,Other; DACH,"[{""name"":""GCF II"",""capital"":""188137000"",""vintageYear"":""2011""},{""name"":""Avedon III"",""capital"":""307022000"",""vintageYear"":""2017""},{""name"":""GCF IV"",""capital"":""612000000"",""vintageYear"":""2021""}]"
9caf9341-e1f0-ee11-904c-0022489fd083,Bencis Capital Partners,Full Member,Amsterdam,Netherlands (the),WTC Amsterdam-TowerTen-Level 18,Strawinskylaan 1577,1077 XX,,+31205400940,www.bencis.com,GP - Independent (no parent),850000000,Growth; Mid market buyout (€15m-€150m equity); Small buyout (<€15m equity),"Business Products and Services; Chemicals and Materials; Consumer Goods and Services; Energy and Environment; ICT (Communications, Computer and Electronics); Financial and Insurance Activities","Bencis is an independent investment company that was founded in 1999. Bencis supports entrepreneurs and management teams in achieving their growth objectives.
We have a 20 year history of investing in strong and successful businesses in the Netherlands, Belgium and Germany. With our extensive experience in sectors like Industry & Manufacturing, Food & Beverages, Business & Consumer Services and Healthcare & Leisure we are capable of adding true value. We focus on supporting the people that have created and/or drive these companies.
Bencis aims to invest in companies with an operating profit up to 50 million euro.
Please see also: www.bencis.com",Netherlands (the); Belgium; Luxembourg; Germany;,"[{""name"":""Bencis V"",""capital"":""425000000"",""vintageYear"":""2016""}]"
de94c7a1-e1f0-ee11-904c-0022489fd083,BrightCap Ventures,Full Member,Amsterdam,Netherlands (the),De Lairessestraat 145 A,,1075 HJ,,,brightcap.vc/,GP - Independent (no parent),,Seed; Start-up,Software,"BrightCap Ventures is an early-stage, tech-focused VC fund registered in the Netherlands and operated from Sofia, Bulgaria. We invest in startups with defensible technology and aggressively push them to pursue global markets while maintaining a sizable part of their engineering in Bulgaria. Preferred sectors are future of work, fin tech, health tech and sustainability. Our companies benefit from the partners' extensive entrepreneurial and investment experience and our extensive global network of experts and venture funds. Since establishing BrightCap in 2018, we have made 22 investments and 5 exits.",Croatia; North Macedonia (Republic of); Bulgaria; Czechia; Serbia; Slovenia; USA; Romania; CEE;,"[{""name"":""BrightCap Ventures II Coöperatief U.A."",""capital"":""47500000"",""vintageYear"":""2024""},{""name"":""BrightCap Ventures Coöperatief U.A."",""capital"":""25000000"",""vintageYear"":""2018""}]"
c5acd17d-e1f0-ee11-904c-0022489fd083,Collective Spark Management BV,Full Member,Amsterdam,Netherlands (the),Prins Bernhardplein 200,,1097 JB,,+905326421442,www.collectivespark.com,GP - Independent (no parent),,Growth; Other early stage; Seed; Start-up,"Agriculture; Business Products and Services; Consumer Goods and Services; ICT (Communications, Computer and Electronics); Financial and Insurance Activities","Collective Spark completed a EUR 20.4M first close on a EUR 30M target fund size in May and will focus on early stage tech ventures primarily in fin-tech, marketplaces, SaaS, big data and industry 4.0. Investors include European Investment Fund, Fiba Holding, local family offices and exited entrepreneurs. It is an Operational VC and aims to be the first institutional investor across different stages (Inception, Seed, Series A). Investments range between $100K and $3M.",Turkey; Europe; USA;,[]
03318b17-e1f0-ee11-904c-0022489fd083,Egeria,Full Member,Amsterdam,Netherlands (the),Egeria Capital Management B.V.,Frederiksplein 1,1017 XK,,+31205306868,www.egeriagroup.com,GP - Independent (no parent),,Growth; Large buyout (€150m-€300m equity); Mid market buyout (€15m-€150m equity); Secondary Stage (Secondary direct deals); Small buyout (<€15m equity),"Business Products and Services; Construction; Consumer Goods and Services; Energy and Environment; Infrastructure; Real Estate; Transportation; All Industry Sectors; ICT (Communications, Computer and Electronics); Financial and Insurance Activities","Egeria Private Equity is structured in two teams in order to optimize value creation for each individual investment. We have a solid backbone of institutional investors, families and team commitment. The portfolio currently consists of 20 companies in various sectors. We have an international approach but focus on companies that have a strong link to the Netherlands, Germany, Austria and Switzerland.
FUNDS: We invest in healthy businesses in the Netherlands and the DACH region with an enterprise value of up to €350 million with the underlying principle that management is co-owner. Our investment horizon is between five and seven years on average.
EVERGREEN: The Evergreen fund has an indefinite lifetime and committed capital of €400 million, with flexibility in terms of timing and allocation and a typical holding period of 10+ years.",Germany; Netherlands (the); Switzerland; Austria;,"[{""name"":""Egeria Private Equity Fund IV"",""capital"":""600000000"",""vintageYear"":""2013""},{""name"":""Egeria Private Equity Fund III"",""capital"":""500000000"",""vintageYear"":""2008""},{""name"":""Egeria Private Equity Fund V"",""capital"":""800000000"",""vintageYear"":""2017""}]"
4e92c7a1-e1f0-ee11-904c-0022489fd083,GapMinder Venture Partners B.V.,Full Member,Amsterdam,Netherlands (the),Jan van Goyenkade 8,,1075 HP,,+40722532541,gapminder.vc/,GP - Independent (no parent),,Other early stage; Seed; Start-up,Technology,"GapMinder is a Netherlands-based Venture Capital fund investing in Seed and Series A stages with focus on Deep Tech B2B start-ups founded in Central and Eastern Europe. The fund targets companies with potential for global expansion, with a particular focus on Fintech, Cybersecurity and platform plays.
GapMinder creates value for its portfolio companies by enhancing organic growth via hands-on involvement in operational streamlining, corporate governance, financial discipline and coaching management.
Target profile: Deep Tech start-ups in preferred verticals (with focus on FinTech, CyberSec, Horizontal platforms). Main application types in focus: machine learning, AI, process automation, dev tools, platforms.",CEE;,"[{""name"":""GapMinder Fund Cooperatief U.A."",""capital"":""50000000"",""vintageYear"":""2018""}]"
241f8c47-e1f0-ee11-904c-0022489fd083,Global Cleantech Capital,Full Member,Amsterdam,Netherlands (the),Herengracht 338,,1016 CG,,+31207766280,www.gccfund.com,GP - Independent (no parent),,Growth,"Business Products and Services; Consumer Goods and Services; Energy and Environment; Infrastructure; ; ICT (Communications, Computer and Electronics); Financial and Insurance Activities Energy transition, clean energy, Fintech,","Founded in 2006 and based in Amsterdam, Global Cleantech Capital (GCC) is a venture capital firm investing in growth-stage companies the clean energy, mobility, smart cities and fintech sectors, primarily in Europe and the US. Founding partners managed four successive funds over the past 20 years in the clean energy sector.",Canada; USA; Europe;,[]
fe098c47-e1f0-ee11-904c-0022489fd083,ICOS Capital Management B.V.,Full Member,Amsterdam,Netherlands (the),Barbara Strozzilaan 201,,1083HN,,+31108208688,www.icoscapital.com,GP - Independent (no parent),60000000,Growth; Mid market buyout (€15m-€150m equity); Secondary Stage (Secondary direct deals); Small buyout (<€15m equity),Agriculture; Business Products and Services; Chemicals and Materials; Energy and Environment; Biotech and Healthcare,"Icos Capital invests in companies at growth inflection point with proven scailability, clear market traction and where Icos' value addition can fast track their success. 
Icos Capital accelerates sustainability by investing in breakthrough technologies that can deliver reduction and / or avoidance of 1 G T CO2e by 2050
With every investment fund managed that targets reduction of CO2e within the fund period, thus quantified, measurable and validated by third parties
With every investment made must contribute to reduction of CO2e and tracked over investment life",USA; Israel; Europe;,[]
3396d17d-e1f0-ee11-904c-0022489fd083,Karmijn Kapitaal,Full Member,Amsterdam,Netherlands (the),Koningin Wilhelminaplein 56,,1062 KS,,+31202235678,www.karmijnkapitaal.nl,GP - Independent (no parent),185000000,Growth; Small buyout (<€15m equity),"Business Products and Services; Construction; Consumer Goods and Services; Transportation; ICT (Communications, Computer and Electronics); Financial and Insurance Activities","Karmijn Kapitaal was founded by Désirée van Boxtel, Hadewych Cels and Cilian Jansen Verplanke in 2010. We share our enthusiasm for entrepreneurs and have an extensive background in investing and entrepreneurship. We believe in the power of diversity. We invest in companies that are led by a gender mixed management team, existing of a balanced combination of women and men. Key are the different visions, management styles and priorities individuals bring to the team.",Netherlands (the);,"[{""name"":""Karmijn Kapitaal Fund I"",""capital"":""46000000"",""vintageYear"":""2012""},{""name"":""Karmijn Kapitaal Fund II"",""capital"":""90000000"",""vintageYear"":""2015""},{""name"":""Karmijn Kapitaal III"",""capital"":""100000000"",""vintageYear"":""2021""}]"
147ec7a1-e1f0-ee11-904c-0022489fd083,Morphosis Capital Coöperatief U.A,Full Member,Amsterdam,Netherlands (the),Basisweg 10,,1043AP,,+40740015551,www.morphosiscapital.com/,GP - Independent (no parent),,Growth,Business Products and Services; Consumer Goods and Services; ; Biotech and Healthcare Niche Manufacturing,"Morphosis Capital (MC), established by four Romanian entrepreneurs, is a private equity fund manager focused on transforming local SMEs into national and regional champions. The firm operates through two funds: MC Fund I (~€50M fully invested capital) and MC Fund II (+€130M committed capital).

With the support of EIF as anchor investor, MC Fund I has deployed tickets between €5-10M across 6 platform investments in sectors including healthcare, technology, and B2B services. The portfolio comprises DocProcess (business process automation), Medima Health (imaging clinics), Dr. Leahu Dental Clinics (dental market leader), EMI (engineering services), Cronos Med (aesthetic medicine), and Stay Fit Gym (fitness operator). 

MC Fund II, launched in challenging market conditions, already secured a total capital commitment of +€130M, with support from EIF, EBRD, IFC and private investors. The fund plans 9-10 investments (consisting of €10-15M ticket size) in industries such as healthcare, consumer services, B2B services, and niche manufacturing. While maintaining a 70% focus on Romania, Fund II will expand its geographical scope into other CEE markets including Bulgaria, Slovakia, Croatia, Poland and Czech Republic. MC Fund II has already completed 3 investments: Romania Education Alliance (private education institution with dual curriculum), Supermarket La Cocos (the largest independent hard discount retailer in Romania) and EnduroSat (provider of satellites and space services).",CEE; Croatia; Czechia; Poland; Bulgaria; Slovakia; Romania;,"[{""name"":""Morphosis Capital Fund II Coöperatief U.A."",""capital"":""130000000"",""vintageYear"":""2024""},{""name"":""Morphosis Capital Fund I Coöperatief U.A."",""capital"":""49600000"",""vintageYear"":""2019""}]"
f9078c47-e1f0-ee11-904c-0022489fd083,Newion Partners B.V.,Full Member,Amsterdam,Netherlands (the),Hogehilweg 8,,1101 CC,,+31208006742,www.newion.com,GP - Independent (no parent),,Growth; Other early stage; Small buyout (<€15m equity); Start-up,B2B software,Newion is a dedicated investor experienced in investing in high potential Business to Business Software companies since 2001.,Germany; Finland; Luxembourg; Denmark; Sweden; Belgium; Netherlands (the); Norway; Austria;,"[{""name"":""Newion Investments II"",""capital"":""50000000"",""vintageYear"":""2011""},{""name"":""Newion Investments III"",""capital"":""85000000"",""vintageYear"":""2018""},{""name"":""Newion IV"",""capital"":""132000000"",""vintageYear"":""2022""}]"
e290c7a1-e1f0-ee11-904c-0022489fd083,OTB Fund Management B.V.,Full Member,Amsterdam,Netherlands (the),Strawinskylaan 1457,"Tower Ten, 14th Floor",1077 XX,,+48726730035,www.otb.vc,GP - Independent (no parent),,Other early stage; Seed; Start-up,Business Products and Services; ; Financial and Insurance Activities Deep-Tech,"OTB Fund Management (FM) was incorporated in 2017, to manage the venture capital fund OTB Fund Cooperatief (OTB). Currently the FM manages 3 funds: OTB, OTB Space Program I (SP) and Growth Fund I (GF). Our partners have each over 20 years of entrepreneurial and international venture capital experience, and a proven track record of supporting the expansion of start-ups across international markets.
OTB is a leading venture capital firm in the CEE investing in early growth, high-tech start-ups that are developing unique technologies. The fund's members are qualified institutional and HNWI investors.
GF was incorporated in 2021 and is a limited partnership set up as part of the ESCALAR program launched by the European Investment Fund (EIF) - GP's of GF are OTB and EIF. The GF invests in companies with an investment focus on scale-ups, established or operating in the EU.",Finland; United Kingdom; DACH; France & Benelux; Southern Europe; UK & Ireland; Latvia; Lithuania; Poland; Ukraine; Belgium; Denmark; Bulgaria; Nordics; CEE; Hungary; Slovakia; Slovenia; Luxembourg; Estonia; Europe; Czechia; Romania;,"[{""name"":""OTB Fund Cooperatief U.A."",""capital"":""96100000"",""vintageYear"":""2017""},{""name"":""OTB Space Program I U.A."",""capital"":""19800000"",""vintageYear"":""2020""},{""name"":""Growth Fund I C.V."",""capital"":""25000000"",""vintageYear"":""2021""}]"
eb2a8b17-e1f0-ee11-904c-0022489fd083,Parcom Capital Management B.V.,Full Member,Amsterdam,Netherlands (the),Stadionplein 16,,1076 CM,,+31206587500,parcom.com/en/,GP - Insurance company subsidiary,,Large buyout (€150m-€300m equity); Mid market buyout (€15m-€150m equity); Small buyout (<€15m equity),"Business Products and Services; Chemicals and Materials; Construction; Consumer Goods and Services; Energy and Environment; Transportation; ICT (Communications, Computer and Electronics); Financial and Insurance Activities","We are a Dutch investment company. We help entrepreneurs and management teams achieve their ambitions. We see the potential. Every day, we dedicate ourselves to supporting these companies in phases of sustainable growth or transformation. That is our driving force.",Netherlands (the);,"[{""name"":""Fund V"",""capital"":""570000000"",""vintageYear"":""2016""},{""name"":""Fund VI"",""capital"":""775000000"",""vintageYear"":""2020""},{""name"":""Fund VII"",""capital"":""960000000"",""vintageYear"":""2024""}]"
1988c7a1-e1f0-ee11-904c-0022489fd083,PureTerra Management Coop U.A.,Full Member,Amsterdam,Netherlands (the),Entrepotdok 78 A,,1018 AD,,+31631934496,www.pureterra.com,GP - Independent (no parent),,Growth; Other early stage; Start-up,Agriculture; Business Products and Services; Energy and Environment,"PureTerra is a water-focused investment firm that creates meaningful impact and value for both our investors and investees in the fast-growing water industry. We contribute to achieving SDGs, within and beyond Goal 6: Clean water and sanitation, by focusing our attention on (1) conserving the water supply, (2) supporting climate change mitigation and adaptation, and (3) growing the water capital market. We support the Valuing Water Principles with the goal of creating awareness and by coordinating action among key stakeholders to achieve positive change. PureTerra’s approach is built on our key strengths with a bias for action to further catalyse and shape the underinvested water technology market that is currently starting to gain momentum.",Europe; Israel; USA; Canada; Singapore; Australia - New Zealand;,"[{""name"":""PureTerra Ventures I Cooperatief U.A."",""capital"":""73100000"",""vintageYear"":""2021""}]"
2bdabfa7-e1f0-ee11-904c-0022489fd083,Rivean Capital B.V.,Full Member,Amsterdam,Netherlands (the),Eduard van Beinumstraat 22,,1077 CZ,,+31882202600,www.riveancapital.com,GP - Independent (no parent),,Mid market buyout (€15m-€150m equity),"Agriculture; Business Products and Services; Chemicals and Materials; Construction; Consumer Goods and Services; Energy and Environment; Transportation; ICT (Communications, Computer and Electronics); Financial and Insurance Activities; Biotech and Healthcare","A pioneer in European mid-market private equity, Rivean Capital has been delivering creative growth solutions for aspiring business leaders since 1982. Rivean Capital was formerly known as Gilde Buy Out Partners, one of the most established private equity firms in Europe. In 2022, as a reflection of the forward momentum of the organization and a view towards the future, the firm adopted its new name. The leadership of Rivean and its core value proposition remain unchanged, invigorated for this new chapter in its history.
With local presence through offices in the Benelux and DACH regions as well as Italy, Rivean is firmly rooted in traditions of partnership, pragmatism, and performance. We guide business transformations, often with complex opportunity sets, where our experience and in-house Portfolio Enhancement Program can deliver “next level” value creation.",Italy; Switzerland; Austria; Belgium; Luxembourg; Netherlands (the); Germany;,"[{""name"":""Gilde Buy-Out Fund V"",""capital"":""1100000000"",""vintageYear"":""2016""},{""name"":""Gilde Buy-Out Fund VI"",""capital"":""1350000000"",""vintageYear"":""2019""},{""name"":""Rivean Special Opportunity Fund I"",""capital"":""925000000"",""vintageYear"":""2022""}]"
cca2d17d-e1f0-ee11-904c-0022489fd083,SCV Fund Management B.V.,Full Member,Amsterdam,Netherlands (the),Herikerbergweg 88,,1101 CM,,,www.sc-ventures.com,GP - Independent (no parent),,Growth; Other early stage; Seed; Start-up,"Business Products and Services; ICT (Communications, Computer and Electronics)","South Central Ventures (SCV) is the largest venture capital firm investing in Slovenia, Croatia and the Balkans, with EUR 100 million under management. It targets early and growth stage tech companies with focus on IT enabled businesses with a strong AI component, including enterprise software, fintech, security... Since its establishment SCV has become the first choice investment partner in the region for investors and companies alike. SCV's offices are in Ljubljana, Zagreb, Belgrade and Skopje.",North Macedonia (Republic of); Montenegro; Albania; Slovenia; Croatia; Bosnia and Herzegovina; Serbia;,[]
d1228c47-e1f0-ee11-904c-0022489fd083,SET Ventures,Full Member,Amsterdam,Netherlands (the),Keizersgracht 756,,1017 EZ,,+31203200104,www.setventures.com,GP - Independent (no parent),268327239,Growth; Other early stage; Start-up,Energy and Environment,"Since 2007 Amsterdam-based SET Ventures has invested in digital technology for a carbon-free energy system by backing pioneering founders with capital, community, and insights. SET Ventures invests in companies with sustainable solutions and a strong digital DNA leading the systemic change of how energy is generated, distributed, stored, and consumed in sectors such as distributed infrastructure, energy retail, buildings, mobility, and industry as well as enabling technologies.",Israel; Europe; UK & Ireland; United Kingdom; Switzerland;,"[{""name"":""SET Fund IV Cooperatief U.A."",""capital"":""200000000"",""vintageYear"":""2023""},{""name"":""SET Fund III CV"",""capital"":""100000000"",""vintageYear"":""2018""}]"
