name,website,portfolio,fundSize,dealCount
2150,https://www.2150.vc,Normative and Biomason,\'a3230 million in a single fund,Less than 20
7Percent,http://7pc.co,Luma and Blue Vision Labs,\'a337 million across 2 funds,120+
Accel Partners,https://www.accel.com,Meta and Razer,\'a315 billion across 33 funds,"1,800+"
Amadeus,https://www.amadeuscapital.com,lastminute.com and IndiaMART,\'a3434 million across 5 funds,250+
Angel Academe,https://www.angelacademe.com,Provenance and Century,Unknown,45+
Anthemis,https://www.anthemis.com,Tide and Currencycloud,\'a31 billion across 9 funds,220+
Ascension,https://www.ascension.vc,Credit Kudos and ZigZag Global,\'a32 million,270+
Balderton Capital,https://www.balderton.com,Revolut and Recorded Future,\'a35 billion across 11 funds,375+
BGF Growth Capital,https://www.bgf.co.uk,BigBlu Broadband and Gym Box,\'a32.5 billion,400+
British Design Fund,https://www.britishdesignfund.co.uk,Untap and Gecko Glazing,Unknown,10+
Britbots,https://www.britbots.com,Zelim and Muddy Machines,\'a31.5 million,33+
Concept Ventures,https://www.conceptventures.vc,Reachdesk and Screenloop,\'a352 million from current fund,50+
Connect Ventures,https://www.connectventures.co,Thursday and Typeform,\'a3143 million across 3 funds,110+
Crane,https://crane.vc,H2O.ai and Centrifuge,\'a3191 million,70+
Downing Ventures,https://institutional.downing.co.uk,Trouva and Destiny Pharma,\'a32.3 million in a single fund,165+
Episode 1,https://episode1.com,PassFort and Feedr,\'a397.5 million across 2 funds,85+
Entr\'e9e Capital,https://entreecap.com,Monday.com and Stripe,\'a3688 million across 7 funds,220+
Felix Capital,https://www.felixcap.com,Deliveroo and Peloton,\'a31 billion across 6 funds,96+
Force over Mass,https://fomcap.com,What3Words and Admix,\'a31115 million across 2 funds,140+
Fuel Ventures,https://fuel.ventures,ContentCal and Suggestv,\'a3127 million across 5 funds,95+
Frontline Ventures,https://www.frontline.vc,Pointy and Boxever,\'a3244 million,134+
Future Planet Capital,https://futureplanetcapital.com,Halo Neuroscience and 23andMe,\'a318.4 million across 9 funds,85+
Guinness Ventures,https://www.guinnessgi.com/ventures,ContentCal and Mori,Unknown,35+
Hoxton,https://www.hoxtonventures.com,"Babylon, Deliveroo, Darktrace, Epic Games (that\'92s four unicorns they\'92ve backed from early stage).",\'a3296 million across 3 funds,75+
Imbiba Capital,https://imbiba.com,Pizza Pilgrims and House of Gods,\'a350 million in one fund,10+
Index Ventures,https://www.indexventures.com,"Dropbox, Notion and SeedLegals",\'a310 billion across 19 funds,"1,065+"
JamJar Investments,https://www.jamjarinvestments.com,Many Pets and tails.com,\'a3140 million,70+
Jenson Funding Partners,https://jensonfundingpartners.com,NeuroCreate and Skuma Water,\'a353 million,125+
Kinetic Investments,https://ki.uk,Impact AI and Investoo,\'a330 million,12
LocalGlobe,https://localglobe.vc,Citymapper and Wise,\'a31.2 billion across 8 funds,340+
MMC,https://mmc.vc,Gousto and Poc Doc,\'a31 billion across 4 funds,180+
Nauta Capital,https://nautacapital.com,Zephr and Social point,,130+
Notion,https://www.notion.vc,GoCardless and Paddle,\'a3386 million across 5 funds,160+
Northzone,https://northzone.com,Spotify and Trustpilot,\'a31 billion,175+
Octopus Ventures,https://octopusventures.com,Cazoo and Mindstep,\'a31 billion across 6 funds,330+
Parkwalk,https://parkwalkadvisors.com,Fresh Check and Cheesecake Energy,\'a3434 million across 29 funds,275+
Passion Capital,https://www.passioncapital.com,Digital Shadows and Wickr,\'a3155 million across 3 funds,160+
Playfair Capital,https://playfaircapital.com,Trouva and Jukedeck,\'a351 million across 2 funds,90+
Redline Capital,https://www.redline-capital.com,Balbix and Voltron Data,Unknown,45+
Samaipata,https://www.samaipata.vc,Spotahome and Big Blue,\'a3137 million across 2 funds,50+
Seedcamp,https://seedcamp.com,Revolut and Wise,\'a3186 million across 5 funds,490+
SFC Capital,https://sfccapital.com,TapTrip and WorkClub,\'a314 million across 18 funds,385+
SpeedInvest,https://www.speedinvest.com,Planetly and FinCompare,\'a3524 million across 8 funds,355+
Sustainable Ventures,https://www.sustainableventures.co.uk,E-Car Club and Good Club,\'a31 million,35+
Target Global,https://www.targetglobal.vc,Bird and Cazoo,\'a31 billion across 7 funds,180+
Vala Capital,https://www.valacap.com,FlexSea and Sust Global,Unknown,25+
Worth Capital,https://worthcapital.uk,Itsy and My First UK,\'a36 million across 2 funds,100+
